graph,persona_set,bot,seed,nodes,edges,density,components,isolates,avg_degree,min_degree,max_degree,local_edges,long_range_edges,avg_clustering,transitivity,avg_shortest_path,diameter,degree_assortativity,modularity,bridge_edge_fraction,avg_betweenness,avg_eigenvector,bot_degree
er,personas,off,11,36,65,0.10317460317460317,1,0,3.611111111111111,1,7,65,0,0.12076719576719576,0.11162790697674418,2.806349206349206,6,-0.15076071922545053,-0.008165680473372738,0.015384615384615385,0.053127917833800185,0.14760658598022225,
er,personas,on,11,37,74,0.1111111111111111,1,0,4.0,1,9,74,0,0.1468682968682969,0.13448275862068965,2.6486486486486487,6,-0.05613395800798252,0.012052593133674183,0.013513513513513514,0.0471042471042471,0.14281377234470935,9
er,senate,off,11,100,517,0.10444444444444445,1,0,10.34,3,18,517,0,0.11724235241882301,0.11801596351197263,2.2111111111111112,4,-0.0029395260083259897,-0.005046971629958612,0.0,0.012358276643990928,0.09525093982499701,
er,senate,on,11,101,544,0.10772277227722772,1,0,10.772277227722773,3,27,544,0,0.12656012153682508,0.12620865139949108,2.1825742574257427,4,-0.009475838927300466,-0.011358874891868521,0.0,0.011945194519451948,0.09370272584661746,27
rgglr,personas,off,11,36,121,0.19206349206349208,1,0,6.722222222222222,3,12,101,20,0.5966329966329966,0.6022304832713755,2.4126984126984126,5,0.4380804953560356,0.4083737769276604,0.0,0.04154995331465919,0.12230858016862244,
rgglr,personas,on,11,37,130,0.19519519519519518,1,0,7.027027027027027,3,13,110,20,0.5622211122211123,0.5585980284775466,2.2882882882882885,4,0.3988027340814026,0.36240737392044575,0.0,0.03680823680823681,0.12586738973808764,9
rgglr,senate,off,11,100,848,0.1713131313131313,1,0,16.96,3,24,788,60,0.6931719046982542,0.6789686193950556,2.286868686868687,4,0.14496958009406213,0.46692706803694844,0.0,0.013131313131313131,0.09540205301090596,
rgglr,senate,on,11,101,875,0.17326732673267325,1,0,17.326732673267326,3,27,815,60,0.6747835910883054,0.6553963577932512,2.2403960396039606,4,0.1386862953344591,0.422572085825875,0.0,0.012529252925292533,0.09435987451838163,27
