persona_set,bot,metric,value
personas,off,step_stay_rate,0.726389
personas,off,initial_to_final_stay_rate,0.513889
personas,off,mean_step_change_rate,0.273611
personas,off,peak_step_change_rate,0.319444
personas,off,peak_step_change_rate_step,2
personas,on,step_stay_rate,0.774324
personas,on,initial_to_final_stay_rate,0.554054
personas,on,mean_step_change_rate,0.225676
personas,on,peak_step_change_rate,0.324324
personas,on,peak_step_change_rate_step,7
senate,off,step_stay_rate,0.843
senate,off,initial_to_final_stay_rate,0.83
senate,off,mean_step_change_rate,0.157
senate,off,peak_step_change_rate,0.2
senate,off,peak_step_change_rate_step,6
senate,on,step_stay_rate,0.837129
senate,on,initial_to_final_stay_rate,0.737624
senate,on,mean_step_change_rate,0.162871
senate,on,peak_step_change_rate,0.207921
senate,on,peak_step_change_rate_step,8
