matrix_id,graph,model,bot,seed,t,topic,variance,delta_from_t0,delta_from_prev,left_count,center_left_count,center_right_count,right_count,measured_agents,graph_nodes,graph_edges,graph_density,graph_components,graph_isolates,graph_avg_degree,graph_min_degree,graph_max_degree,graph_local_edges,graph_long_range_edges,bot_degree
20260305_235416,er,degroot,off,11,0,Government Environmental Regulations,0.1388888888888889,0.0,,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,1,Government Environmental Regulations,0.032466506435678985,-0.10642238245320991,-0.10642238245320991,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,2,Government Environmental Regulations,0.010455569252118576,-0.12843331963677032,-0.02201093718356041,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,3,Government Environmental Regulations,0.004450969230963194,-0.1344379196579257,-0.006004600021155382,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,4,Government Environmental Regulations,0.002348919062095819,-0.1365399698267931,-0.002102050168867375,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,5,Government Environmental Regulations,0.0010741795174523507,-0.13781470937143656,-0.0012747395446434683,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,6,Government Environmental Regulations,0.000631687792425398,-0.1382572010964635,-0.0004424917250269527,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,7,Government Environmental Regulations,0.000308131896655717,-0.13858075699223318,-0.000323555895769681,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,8,Government Environmental Regulations,0.0001840015967543421,-0.13870488729213457,-0.0001241302999013749,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,9,Government Environmental Regulations,9.471300316169494e-05,-0.1387941758857272,-8.928859359264717e-05,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,degroot,off,11,10,Government Environmental Regulations,5.6391832313007445e-05,-0.13883249705657588,-3.83211708486875e-05,,,,,,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,0,Government Environmental Regulations,0.449040949344635,0.0,,9,9,9,9,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,1,Government Environmental Regulations,0.4140416383743286,-0.034999310970306396,-0.034999310970306396,6,12,17,1,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,2,Government Environmental Regulations,0.34936150908470154,-0.09967944025993347,-0.06468012928962708,3,12,20,1,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,3,Government Environmental Regulations,0.32586443424224854,-0.12317651510238647,-0.023497074842453003,1,14,21,0,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,4,Government Environmental Regulations,0.3448907136917114,-0.10415023565292358,0.01902627944946289,3,13,19,1,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,5,Government Environmental Regulations,0.337583988904953,-0.111456960439682,-0.007306724786758423,1,14,20,1,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,6,Government Environmental Regulations,0.31801337003707886,-0.13102757930755615,-0.019570618867874146,2,18,16,0,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,7,Government Environmental Regulations,0.3034588694572449,-0.14558207988739014,-0.014554500579833984,2,15,19,0,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,8,Government Environmental Regulations,0.30976566672325134,-0.13927528262138367,0.00630679726600647,5,11,17,3,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,9,Government Environmental Regulations,0.287122517824173,-0.16191843152046204,-0.02264314889907837,1,16,19,0,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,off,11,10,Government Environmental Regulations,0.27267834544181824,-0.17636260390281677,-0.014444172382354736,1,17,18,0,36,36,92,0.14603174603174604,1,0,5.111111111111111,2,10,92,0,
20260305_235416,er,semantic,on,11,0,Government Environmental Regulations,0.4458497166633606,0.0,,9,9,10,9,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,1,Government Environmental Regulations,0.3880719244480133,-0.05777779221534729,-0.05777779221534729,4,16,15,2,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,2,Government Environmental Regulations,0.35963213443756104,-0.08621758222579956,-0.02843979001045227,2,18,17,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,3,Government Environmental Regulations,0.34911489486694336,-0.09673482179641724,-0.010517239570617676,5,13,17,2,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,4,Government Environmental Regulations,0.32496997714042664,-0.12087973952293396,-0.024144917726516724,2,15,20,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,5,Government Environmental Regulations,0.3312174379825592,-0.11463227868080139,0.006247460842132568,2,15,20,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,6,Government Environmental Regulations,0.31084907054901123,-0.13500064611434937,-0.020368367433547974,1,13,22,1,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,7,Government Environmental Regulations,0.30663591623306274,-0.13921380043029785,-0.004213154315948486,2,19,16,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,8,Government Environmental Regulations,0.2971208095550537,-0.14872890710830688,-0.009515106678009033,1,15,21,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,9,Government Environmental Regulations,0.2849646508693695,-0.1608850657939911,-0.012156158685684204,3,14,20,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,semantic,on,11,10,Government Environmental Regulations,0.20470909774303436,-0.24114061892032623,-0.08025555312633514,1,8,28,0,37,37,101,0.15165165165165165,1,0,5.45945945945946,2,10,101,0,9
20260305_235416,er,degroot,off,23,0,Government Environmental Regulations,0.1388888888888889,0.0,,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,1,Government Environmental Regulations,0.028364290144625652,-0.11052459874426324,-0.11052459874426324,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,2,Government Environmental Regulations,0.00911740087088685,-0.12977148801800203,-0.019246889273738802,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,3,Government Environmental Regulations,0.0036896365858625543,-0.13519925230302635,-0.005427764285024296,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,4,Government Environmental Regulations,0.0014900271504354023,-0.1373988617384535,-0.0021996094354271517,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,5,Government Environmental Regulations,0.0006711524059915247,-0.13821773648289737,-0.0008188747444438776,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,6,Government Environmental Regulations,0.00028351228897079383,-0.1386053765999181,-0.0003876401170207309,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,7,Government Environmental Regulations,0.00013213707763917528,-0.13875675181124972,-0.00015137521133161855,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,8,Government Environmental Regulations,5.7609556226986295e-05,-0.1388312793326619,-7.452752141218899e-05,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,9,Government Environmental Regulations,2.7008111105685507e-05,-0.13886188077778322,-3.060144512130079e-05,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,degroot,off,23,10,Government Environmental Regulations,1.2118022483896904e-05,-0.13887677086640499,-1.4890088621788603e-05,,,,,,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,semantic,off,23,0,Government Environmental Regulations,0.449040949344635,0.0,,9,9,9,9,36,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,semantic,off,23,1,Government Environmental Regulations,0.37309184670448303,-0.07594910264015198,-0.07594910264015198,4,15,17,0,36,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,semantic,off,23,2,Government Environmental Regulations,0.34052959084510803,-0.10851135849952698,-0.032562255859375,4,10,21,1,36,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
20260305_235416,er,semantic,off,23,3,Government Environmental Regulations,0.3363005518913269,-0.1127403974533081,-0.004229038953781128,4,11,19,2,36,36,96,0.1523809523809524,1,0,5.333333333333333,2,10,96,0,
